,PassengerId,Cabin_number,Age,RoomService,Age_group,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_S,VIP_True
25,0020_05,0,1.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
26,0020_06,0,7.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
27,0022_01,0,21.0,980.0,Age_18-25,2.0,69.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
28,0024_01,2,62.0,0.0,Age_51+,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
29,0025_01,6,15.0,0.0,Age_13-17,225.0,0.0,998.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
30,0026_01,0,34.0,22.0,Age_31-50,6073.0,0.0,1438.0,328.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
31,0028_01,8,43.0,1125.0,Age_31-50,0.0,136.0,48.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
32,0030_01,4,32.0,0.0,Age_31-50,850.0,81.0,437.0,453.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
33,0031_01,9,47.0,214.0,Age_31-50,0.0,1411.0,0.0,1229.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
34,0031_02,9,2.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
35,0031_03,9,20.0,0.0,Age_18-25,0.0,1750.0,990.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
36,0034_01,1,28.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
37,0035_01,1,23.0,784.0,Age_18-25,964.0,0.0,951.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,0036_01,8,15.0,0.0,Age_13-17,492.0,48.0,20.0,401.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
39,0038_01,10,20.0,554.0,Age_18-25,195.0,0.0,2606.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,0039_01,1,30.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,0041_01,2,17.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
42,0043_01,3,45.0,0.0,Age_31-50,164.0,45.0,2511.0,855.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
43,0044_01,3,55.0,0.0,Age_51+,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
44,0044_02,3,4.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,0044_03,3,21.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
46,0045_01,10,21.0,970.0,Age_18-25,0.0,180.0,0.0,64.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
47,0045_02,10,19.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
48,0050_01,1,35.0,790.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
49,0051_01,2,56.0,0.0,Age_51+,112.0,0.0,1379.0,127.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
50,0052_01,6,28.82793046746535,4.0,Age_26-30,0.0,2.0,4683.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
51,0053_01,11,25.0,0.0,Age_18-25,0.0,1938.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
52,0056_01,1,2.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
53,0056_02,1,38.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
54,0056_03,1,27.0,279.0,Age_26-30,605.0,3374.0,286.0,3.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
55,0058_01,7,36.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
56,0061_01,12,22.0,45.0,Age_18-25,1096.0,148.0,1377.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
57,0062_01,13,62.0,0.0,Age_51+,592.0,0.0,17.0,25.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
58,0064_01,14,15.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
59,0064_02,3,33.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0
60,0066_01,6,62.0,1.0,Age_51+,153.0,197.0,0.0,460.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
61,0067_01,10,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
62,0067_02,10,18.0,1.0,Age_18-25,258.0,446.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
63,0067_03,15,21.0,1946.0,Age_18-25,37.0,0.0,0.0,24.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
64,0068_01,4,28.82793046746535,793.0,Age_26-30,0.0,2.0,253.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
65,0069_01,16,42.0,887.0,Age_31-50,0.0,9.0,6.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
66,0070_01,13,19.0,190.0,Age_18-25,0.0,5.0,1.0,726.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
67,0071_01,14,17.0,16.0,Age_13-17,2165.0,0.0,0.0,52.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
68,0072_01,17,14.0,0.0,Age_13-17,1.0,0.0,0.0,1063.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
69,0073_01,3,37.0,46.0,Age_31-50,83.0,738.0,0.0,12.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
70,0074_01,3,42.0,1.0,Age_31-50,8397.0,0.0,0.0,506.0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
71,0076_01,18,27.0,147.0,Age_26-30,0.0,1018.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
72,0077_01,15,28.0,14.0,Age_26-30,0.0,1295.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
73,0078_01,4,38.0,0.0,Age_31-50,5840.0,0.0,321.0,9654.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
74,0081_01,13,13.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
75,0082_01,16,42.0,7406.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
76,0082_02,16,2.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
77,0082_03,16,8.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
78,0084_01,14,24.0,688.0,Age_18-25,0.0,0.0,0.0,17.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
79,0085_01,5,40.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
80,0086_01,17,43.0,211.0,Age_31-50,0.0,0.0,638.0,513.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
81,0088_01,5,45.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
82,0090_01,15,35.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
83,0091_01,16,26.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
84,0091_02,20,27.0,1.0,Age_26-30,697.0,31.0,188.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
85,0092_01,9,19.0,0.0,Age_18-25,0.0,670.0,1.0,34.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
86,0092_02,9,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
87,0092_03,9,3.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
88,0097_01,2,54.0,0.0,Age_51+,1208.0,0.0,3.0,637.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
89,0098_01,11,26.0,0.0,Age_26-30,856.0,5.0,32.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0098_02,11,26.0,0.0,Age_26-30,2811.0,957.0,0.0,87.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
91,0099_01,19,23.0,311.0,Age_18-25,427.0,526.0,37.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
92,0099_02,12,2.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
93,0101_01,3,31.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
94,0102_01,23,18.0,0.0,Age_18-25,0.0,0.0,830.0,91.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
95,0103_01,24,24.0,0.0,Age_18-25,0.0,0.0,0.0,17.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
96,0103_02,18,9.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
97,0103_03,18,6.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
98,0105_01,21,27.0,0.0,Age_26-30,0.0,570.0,2.0,131.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,0107_01,2,21.0,1743.0,Age_18-25,5.0,17.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
100,0108_01,19,23.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
101,0108_02,19,31.0,562.0,Age_31-50,0.0,326.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
102,0108_03,19,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
103,0110_01,5,32.0,0.0,Age_31-50,410.0,6.0,3929.0,764.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
104,0110_02,5,40.0,0.0,Age_31-50,331.0,0.0,0.0,1687.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
105,0110_03,5,42.0,2209.0,Age_31-50,11418.0,0.0,1868.0,445.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
106,0110_04,5,28.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
107,0111_01,6,29.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
108,0112_01,1,48.0,0.0,Age_31-50,2537.0,87.0,17.0,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
109,0113_01,23,64.0,0.0,Age_51+,0.0,804.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
110,0114_01,20,27.0,82.0,Age_26-30,157.0,429.0,238.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
111,0115_01,24,26.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
112,0116_01,4,33.0,1.0,Age_31-50,2223.0,0.0,12.0,404.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
113,0119_01,0,39.0,0.0,Age_31-50,2344.0,0.0,65.0,6898.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
114,0119_02,0,13.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
115,0120_01,25,24.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
116,0122_01,21,29.0,0.0,Age_26-30,0.0,0.0,699.0,74.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
117,0123_01,27,18.0,55.0,Age_18-25,597.0,49.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
118,0126_01,27,67.0,0.0,Age_51+,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
119,0127_01,7,35.0,701.0,Age_31-50,0.0,296.0,0.0,25.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
120,0128_01,3,61.0,2353.0,Age_51+,334.0,9.0,316.0,2.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
121,0128_02,8,45.0,2103.0,Age_31-50,6.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
122,0129_01,22,22.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
123,0133_01,29,19.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
124,0133_02,5,36.0,2738.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
125,0134_01,17,19.0,0.0,Age_18-25,14.0,730.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
126,0136_01,23,47.0,97.0,Age_31-50,418.0,126.0,25.0,55.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
127,0138_01,18,13.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
128,0138_02,5,34.0,0.0,Age_31-50,22.0,0.0,564.0,207.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
129,0139_01,6,35.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
130,0140_01,19,24.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
131,0140_02,29,26.0,440.0,Age_26-30,0.0,0.0,0.0,462.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
132,0141_01,30,31.0,545.9266475644699,Age_31-50,0.0,97.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
133,0144_01,31,20.0,0.0,Age_18-25,420.0,210.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
134,0146_01,25,56.0,0.0,Age_51+,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
135,0147_01,26,50.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
136,0148_01,31,42.0,1072.0,Age_31-50,0.0,10.0,0.0,76.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
137,0149_01,27,28.82793046746535,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
138,0151_01,20,38.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
139,0152_01,32,41.0,0.0,Age_31-50,0.0,0.0,0.0,607.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
140,0160_01,22,22.0,4119.0,Age_18-25,0.0,0.0,0.0,61.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
141,0163_01,8,26.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
142,0163_02,8,17.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
143,0164_01,28,57.0,50.0,Age_51+,1688.0,0.0,0.0,135.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
144,0164_02,28,17.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
145,0165_01,37,35.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
146,0167_01,35,13.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
147,0167_02,35,27.0,1365.0,Age_26-30,0.0,48.0,22.0,137.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
148,0169_01,23,31.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
149,0170_01,10,24.0,0.0,Age_18-25,0.0,0.0,221.0,567.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
150,0171_01,30,19.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
151,0172_01,24,32.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
152,0173_01,11,58.0,0.0,Age_51+,985.0,0.0,5.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
153,0174_01,38,21.0,287.0,Age_18-25,0.0,16.0,115.0,175.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,0177_01,2,38.0,0.0,Age_31-50,10346.0,1.0,14970.0,2111.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
155,0178_01,6,38.0,3414.0,Age_31-50,0.0,161.0,28.0,119.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
156,0179_01,26,19.0,1.0,Age_18-25,219.0,673.0,2.0,11.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
157,0179_02,26,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
158,0179_03,26,3.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
159,0181_01,27,20.0,0.0,Age_18-25,0.0,3.0,299.0,92.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
160,0182_01,3,24.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
161,0183_01,36,37.0,17.0,Age_31-50,146.0,426.0,0.0,232.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
162,0186_01,28,25.0,62.0,Age_18-25,0.0,0.0,0.0,956.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
163,0188_01,31,56.0,0.0,Age_51+,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
164,0189_01,8,49.0,84.0,Age_31-50,3.0,401.0,202.0,98.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
165,0190_01,32,11.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
166,0192_01,29,1.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
167,0192_02,29,8.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
168,0192_03,29,39.0,0.0,Age_31-50,0.0,10.0,898.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
169,0193_01,41,2.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
170,0193_02,41,23.0,545.9266475644699,Age_18-25,0.0,8.0,1072.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
171,0193_03,41,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
172,0195_01,42,39.0,406.0,Age_31-50,0.0,867.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
173,0196_01,5,25.0,1052.0,Age_18-25,0.0,719.0,0.0,7.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
174,0197_01,5,36.0,0.0,Age_31-50,972.0,0.0,795.0,575.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
175,0198_01,30,52.0,0.0,Age_51+,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
176,0199_01,33,18.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
177,0200_01,31,15.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
178,0201_01,3,35.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
179,0201_02,3,47.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
180,0202_01,9,45.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
181,0202_02,2,28.82793046746535,0.0,Age_26-30,2433.0,0.0,878.0,443.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0203_01,8,51.0,0.0,Age_51+,0.0,0.0,0.0,0.0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
183,0205_01,34,29.0,0.0,Age_26-30,2.0,66.0,0.0,705.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
184,0206_01,9,28.82793046746535,2.0,Age_26-30,1720.0,12.0,1125.0,122.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
185,0207_01,32,19.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
186,0210_01,6,24.0,0.0,Age_18-25,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
187,0211_01,44,29.0,902.0,Age_26-30,1.0,137.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
188,0211_02,44,11.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
189,0211_03,44,17.0,848.0,Age_13-17,0.0,307.0,182.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
190,0212_01,9,13.0,192.0,Age_13-17,0.0,0.0,51.0,739.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
191,0212_02,45,35.0,147.0,Age_31-50,188.0,0.0,10.0,387.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
192,0213_01,46,21.0,367.0,Age_18-25,281.0,0.0,0.0,146.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
