,PassengerId,HomePlanet,CryoSleep,Cabin_side,Cabin_deck,Cabin_number,Destination,Age,RoomService,Age_group,VIP,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
59,0064_02,Mars,True,S,E,3,TRAPPIST-1e,33.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
60,0066_01,Earth,False,P,G,6,TRAPPIST-1e,62.0,1.0,Age_51+,False,153.0,197.0,0.0,460.0,False
61,0067_01,Earth,True,S,G,10,PSO J318.5-22,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
62,0067_02,Earth,False,S,G,10,TRAPPIST-1e,18.0,1.0,Age_18-25,False,258.0,446.0,0.0,0.0,True
63,0067_03,Earth,False,S,F,15,55 Cancri e,21.0,1946.0,Age_18-25,False,37.0,0.0,0.0,24.0,False
64,0068_01,Mars,False,S,E,4,TRAPPIST-1e,28.82793046746535,793.0,Age_26-30,False,0.0,2.0,253.0,0.0,False
65,0069_01,Earth,False,S,F,16,TRAPPIST-1e,42.0,887.0,Age_31-50,False,0.0,9.0,6.0,0.0,True
66,0070_01,Earth,False,P,F,13,TRAPPIST-1e,19.0,190.0,Age_18-25,False,0.0,5.0,1.0,726.0,False
67,0071_01,Earth,False,P,F,14,TRAPPIST-1e,17.0,16.0,Age_13-17,False,2165.0,0.0,0.0,52.0,False
68,0072_01,Earth,False,S,F,17,TRAPPIST-1e,14.0,0.0,Age_13-17,False,1.0,0.0,0.0,1063.0,False
69,0073_01,Mars,False,P,D,3,PSO J318.5-22,37.0,46.0,Age_31-50,False,83.0,738.0,0.0,12.0,False
70,0074_01,Europa,False,S,C,3,TRAPPIST-1e,42.0,1.0,Age_31-50,False,8397.0,0.0,0.0,506.0,True
71,0076_01,Mars,False,S,F,18,TRAPPIST-1e,27.0,147.0,Age_26-30,False,0.0,1018.0,0.0,0.0,True
72,0077_01,Mars,False,P,F,15,TRAPPIST-1e,28.0,14.0,Age_26-30,False,0.0,1295.0,0.0,0.0,True
73,0078_01,Europa,False,S,C,4,TRAPPIST-1e,38.0,0.0,Age_31-50,False,5840.0,0.0,321.0,9654.0,False
74,0081_01,Earth,True,S,G,13,TRAPPIST-1e,13.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,False
75,0082_01,Mars,False,P,F,16,TRAPPIST-1e,42.0,7406.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
76,0082_02,Mars,True,P,F,16,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
77,0082_03,Mars,False,P,F,16,TRAPPIST-1e,8.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
78,0084_01,Earth,False,S,G,14,TRAPPIST-1e,24.0,688.0,Age_18-25,False,0.0,0.0,0.0,17.0,True
79,0085_01,Europa,True,S,C,5,TRAPPIST-1e,40.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
80,0086_01,Earth,False,P,F,17,TRAPPIST-1e,43.0,211.0,Age_31-50,False,0.0,0.0,638.0,513.0,False
81,0088_01,Mars,True,S,E,5,PSO J318.5-22,45.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
82,0090_01,Earth,True,S,G,15,TRAPPIST-1e,35.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
83,0091_01,Earth,True,S,G,16,TRAPPIST-1e,26.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
84,0091_02,Earth,False,S,F,20,TRAPPIST-1e,27.0,1.0,Age_26-30,False,697.0,31.0,188.0,0.0,False
85,0092_01,Earth,False,P,G,9,TRAPPIST-1e,19.0,0.0,Age_18-25,False,0.0,670.0,1.0,34.0,False
86,0092_02,Earth,True,P,G,9,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
87,0092_03,Earth,True,P,G,9,TRAPPIST-1e,3.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
88,0097_01,Europa,False,S,A,2,TRAPPIST-1e,54.0,0.0,Age_51+,False,1208.0,0.0,3.0,637.0,False
89,0098_01,Earth,False,P,G,11,TRAPPIST-1e,26.0,0.0,Age_26-30,False,856.0,5.0,32.0,0.0,False
90,0098_02,Earth,False,P,G,11,TRAPPIST-1e,26.0,0.0,Age_26-30,False,2811.0,957.0,0.0,87.0,True
91,0099_01,Earth,False,P,F,19,PSO J318.5-22,23.0,311.0,Age_18-25,False,427.0,526.0,37.0,0.0,False
92,0099_02,Earth,False,P,G,12,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
93,0101_01,Mars,True,S,F,3,TRAPPIST-1e,31.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
94,0102_01,Earth,False,S,F,23,TRAPPIST-1e,18.0,0.0,Age_18-25,False,0.0,0.0,830.0,91.0,False
95,0103_01,Earth,False,S,F,24,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,17.0,True
96,0103_02,Earth,True,S,G,18,55 Cancri e,9.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
97,0103_03,Earth,True,S,G,18,TRAPPIST-1e,6.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
98,0105_01,Earth,False,P,F,21,TRAPPIST-1e,27.0,0.0,Age_26-30,False,0.0,570.0,2.0,131.0,False
99,0107_01,Mars,False,S,D,2,TRAPPIST-1e,21.0,1743.0,Age_18-25,False,5.0,17.0,0.0,0.0,False
100,0108_01,Earth,True,S,G,19,TRAPPIST-1e,23.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,False
101,0108_02,Earth,False,S,G,19,TRAPPIST-1e,31.0,562.0,Age_31-50,False,0.0,326.0,0.0,0.0,False
102,0108_03,Earth,False,S,G,19,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
103,0110_01,Europa,False,P,B,5,TRAPPIST-1e,32.0,0.0,Age_31-50,False,410.0,6.0,3929.0,764.0,False
104,0110_02,Europa,False,P,B,5,TRAPPIST-1e,40.0,0.0,Age_31-50,False,331.0,0.0,0.0,1687.0,False
105,0110_03,Europa,False,P,B,5,TRAPPIST-1e,42.0,2209.0,Age_31-50,False,11418.0,0.0,1868.0,445.0,True
106,0110_04,Europa,True,P,B,5,TRAPPIST-1e,28.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
107,0111_01,Europa,True,S,E,6,TRAPPIST-1e,29.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
108,0112_01,Europa,False,S,B,1,55 Cancri e,48.0,0.0,Age_31-50,True,2537.0,87.0,17.0,13.0,True
109,0113_01,Earth,False,P,F,23,TRAPPIST-1e,64.0,0.0,Age_51+,False,0.0,804.0,0.0,0.0,True
110,0114_01,Earth,False,S,G,20,TRAPPIST-1e,27.0,82.0,Age_26-30,False,157.0,429.0,238.0,1.0,False
111,0115_01,Mars,False,P,F,24,TRAPPIST-1e,26.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
112,0116_01,Europa,False,P,D,4,TRAPPIST-1e,33.0,1.0,Age_31-50,False,2223.0,0.0,12.0,404.0,True
113,0119_01,Europa,False,P,A,0,TRAPPIST-1e,39.0,0.0,Age_31-50,False,2344.0,0.0,65.0,6898.0,False
114,0119_02,Europa,True,P,A,0,TRAPPIST-1e,13.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
115,0120_01,Mars,True,P,F,25,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
116,0122_01,Earth,False,S,G,21,TRAPPIST-1e,29.0,0.0,Age_26-30,False,0.0,0.0,699.0,74.0,False
117,0123_01,Earth,False,P,F,27,TRAPPIST-1e,18.0,55.0,Age_18-25,False,597.0,49.0,0.0,1.0,False
118,0126_01,Mars,True,S,F,27,TRAPPIST-1e,67.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,True
119,0127_01,Mars,False,S,E,7,TRAPPIST-1e,35.0,701.0,Age_31-50,False,0.0,296.0,0.0,25.0,False
120,0128_01,Mars,False,S,D,3,TRAPPIST-1e,61.0,2353.0,Age_51+,True,334.0,9.0,316.0,2.0,False
121,0128_02,Mars,False,S,E,8,TRAPPIST-1e,45.0,2103.0,Age_31-50,False,6.0,0.0,0.0,0.0,False
122,0129_01,Earth,True,S,G,22,PSO J318.5-22,22.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
123,0133_01,Mars,True,S,F,29,TRAPPIST-1e,19.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
124,0133_02,Mars,False,S,D,5,TRAPPIST-1e,36.0,2738.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
125,0134_01,Earth,False,P,G,17,TRAPPIST-1e,19.0,0.0,Age_18-25,False,14.0,730.0,0.0,0.0,True
126,0136_01,Earth,False,S,G,23,PSO J318.5-22,47.0,97.0,Age_31-50,False,418.0,126.0,25.0,55.0,False
127,0138_01,Earth,True,P,G,18,TRAPPIST-1e,13.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
128,0138_02,Earth,False,P,E,5,TRAPPIST-1e,34.0,0.0,Age_31-50,False,22.0,0.0,564.0,207.0,False
129,0139_01,Europa,True,S,C,6,55 Cancri e,35.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
130,0140_01,Earth,True,P,G,19,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
131,0140_02,Earth,False,P,F,29,TRAPPIST-1e,26.0,440.0,Age_26-30,False,0.0,0.0,0.0,462.0,False
132,0141_01,Mars,False,P,F,30,TRAPPIST-1e,31.0,545.9266475644699,Age_31-50,False,0.0,97.0,0.0,0.0,False
133,0144_01,Earth,False,S,F,31,TRAPPIST-1e,20.0,0.0,Age_18-25,False,420.0,210.0,0.0,0.0,True
134,0146_01,Earth,False,S,G,25,TRAPPIST-1e,56.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,False
135,0147_01,Earth,True,S,G,26,TRAPPIST-1e,50.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
136,0148_01,Mars,False,P,F,31,TRAPPIST-1e,42.0,1072.0,Age_31-50,False,0.0,10.0,0.0,76.0,False
137,0149_01,Earth,True,S,G,27,55 Cancri e,28.82793046746535,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
138,0151_01,Earth,True,P,G,20,55 Cancri e,38.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
139,0152_01,Earth,False,P,F,32,TRAPPIST-1e,41.0,0.0,Age_31-50,False,0.0,0.0,0.0,607.0,False
140,0160_01,Earth,False,P,G,22,TRAPPIST-1e,22.0,4119.0,Age_18-25,False,0.0,0.0,0.0,61.0,False
141,0163_01,Europa,True,P,B,8,TRAPPIST-1e,26.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
142,0163_02,Europa,True,P,B,8,TRAPPIST-1e,17.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
143,0164_01,Earth,False,S,G,28,TRAPPIST-1e,57.0,50.0,Age_51+,False,1688.0,0.0,0.0,135.0,True
144,0164_02,Earth,True,S,G,28,PSO J318.5-22,17.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,False
145,0165_01,Mars,True,P,F,37,TRAPPIST-1e,35.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
146,0167_01,Mars,True,S,F,35,TRAPPIST-1e,13.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
147,0167_02,Mars,False,S,F,35,TRAPPIST-1e,27.0,1365.0,Age_26-30,False,0.0,48.0,22.0,137.0,False
148,0169_01,Earth,True,P,G,23,TRAPPIST-1e,31.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
149,0170_01,Earth,False,S,E,10,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,221.0,567.0,False
150,0171_01,Earth,True,S,G,30,PSO J318.5-22,19.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
151,0172_01,Earth,True,P,G,24,TRAPPIST-1e,32.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
152,0173_01,Earth,False,S,E,11,TRAPPIST-1e,58.0,0.0,Age_51+,False,985.0,0.0,5.0,0.0,True
153,0174_01,Earth,False,P,F,38,55 Cancri e,21.0,287.0,Age_18-25,False,0.0,16.0,115.0,175.0,False
154,0177_01,Europa,False,S,B,2,TRAPPIST-1e,38.0,0.0,Age_31-50,False,10346.0,1.0,14970.0,2111.0,False
155,0178_01,Mars,False,S,D,6,TRAPPIST-1e,38.0,3414.0,Age_31-50,False,0.0,161.0,28.0,119.0,False
156,0179_01,Earth,False,P,G,26,TRAPPIST-1e,19.0,1.0,Age_18-25,False,219.0,673.0,2.0,11.0,True
157,0179_02,Earth,False,P,G,26,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
158,0179_03,Earth,False,P,G,26,TRAPPIST-1e,3.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
159,0181_01,Earth,False,P,G,27,TRAPPIST-1e,20.0,0.0,Age_18-25,False,0.0,3.0,299.0,92.0,False
160,0182_01,Europa,True,P,C,3,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
161,0183_01,Earth,False,S,F,36,TRAPPIST-1e,37.0,17.0,Age_31-50,False,146.0,426.0,0.0,232.0,True
162,0186_01,Earth,False,P,G,28,TRAPPIST-1e,25.0,62.0,Age_18-25,False,0.0,0.0,0.0,956.0,False
163,0188_01,Earth,True,S,G,31,TRAPPIST-1e,56.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,True
164,0189_01,Earth,False,P,E,8,55 Cancri e,49.0,84.0,Age_31-50,False,3.0,401.0,202.0,98.0,False
165,0190_01,Earth,True,S,G,32,55 Cancri e,11.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
166,0192_01,Earth,True,P,G,29,TRAPPIST-1e,1.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
167,0192_02,Earth,False,P,G,29,TRAPPIST-1e,8.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
168,0192_03,Earth,False,P,G,29,TRAPPIST-1e,39.0,0.0,Age_31-50,False,0.0,10.0,898.0,0.0,False
169,0193_01,Mars,True,P,F,41,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
170,0193_02,Mars,False,P,F,41,TRAPPIST-1e,23.0,545.9266475644699,Age_18-25,False,0.0,8.0,1072.0,0.0,False
171,0193_03,Mars,False,P,F,41,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
172,0195_01,Mars,False,P,F,42,TRAPPIST-1e,39.0,406.0,Age_31-50,False,0.0,867.0,0.0,0.0,True
173,0196_01,Mars,False,P,D,5,PSO J318.5-22,25.0,1052.0,Age_18-25,False,0.0,719.0,0.0,7.0,False
174,0197_01,Europa,False,P,C,5,TRAPPIST-1e,36.0,0.0,Age_31-50,False,972.0,0.0,795.0,575.0,False
175,0198_01,Earth,False,P,G,30,PSO J318.5-22,52.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,True
176,0199_01,Earth,True,S,G,33,TRAPPIST-1e,18.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,False
177,0200_01,Earth,True,P,G,31,TRAPPIST-1e,15.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
178,0201_01,Europa,True,S,B,3,TRAPPIST-1e,35.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
179,0201_02,Europa,True,S,B,3,TRAPPIST-1e,47.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
180,0202_01,Europa,True,P,B,9,55 Cancri e,45.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
181,0202_02,Europa,False,P,A,2,55 Cancri e,28.82793046746535,0.0,Age_26-30,False,2433.0,0.0,878.0,443.0,True
182,0203_01,Europa,True,S,C,8,TRAPPIST-1e,51.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,True
183,0205_01,Earth,False,S,G,34,TRAPPIST-1e,29.0,0.0,Age_26-30,False,2.0,66.0,0.0,705.0,False
184,0206_01,Europa,False,S,C,9,55 Cancri e,28.82793046746535,2.0,Age_26-30,False,1720.0,12.0,1125.0,122.0,True
185,0207_01,Earth,True,P,G,32,PSO J318.5-22,19.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,False
186,0210_01,Europa,True,P,D,6,55 Cancri e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
187,0211_01,Mars,False,P,F,44,TRAPPIST-1e,29.0,902.0,Age_26-30,False,1.0,137.0,0.0,0.0,True
188,0211_02,Mars,True,P,F,44,TRAPPIST-1e,11.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
189,0211_03,Mars,False,P,F,44,TRAPPIST-1e,17.0,848.0,Age_13-17,False,0.0,307.0,182.0,0.0,False
190,0212_01,Earth,False,P,E,9,TRAPPIST-1e,13.0,192.0,Age_13-17,False,0.0,0.0,51.0,739.0,False
191,0212_02,Earth,False,P,F,45,TRAPPIST-1e,35.0,147.0,Age_31-50,False,188.0,0.0,10.0,387.0,False
192,0213_01,Earth,False,P,F,46,TRAPPIST-1e,21.0,367.0,Age_18-25,False,281.0,0.0,0.0,146.0,False
193,0216_01,Earth,False,S,F,40,55 Cancri e,21.0,0.0,Age_18-25,False,56.0,0.0,0.0,1918.0,False
194,0217_01,Earth,False,P,F,47,TRAPPIST-1e,38.0,1517.0,Age_31-50,False,0.0,0.0,27.0,0.0,False
195,0219_01,Earth,True,P,G,36,TRAPPIST-1e,19.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
196,0220_01,Earth,True,P,G,37,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
197,0220_02,Earth,False,P,G,37,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
198,0220_03,Earth,True,P,G,37,TRAPPIST-1e,13.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,False
199,0220_04,Earth,False,P,E,10,TRAPPIST-1e,25.0,122.0,Age_18-25,False,84.0,131.8175438596491,0.0,0.0,False
200,0220_05,Earth,False,P,F,48,TRAPPIST-1e,16.0,0.0,Age_13-17,False,3.0,0.0,0.0,1099.0,False
201,0220_06,Earth,False,P,G,37,55 Cancri e,1.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
202,0220_07,Earth,True,P,G,37,TRAPPIST-1e,15.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
203,0221_01,Mars,False,S,E,13,55 Cancri e,21.0,2237.0,Age_18-25,False,0.0,119.0,0.0,0.0,False
204,0221_02,Mars,False,S,E,13,TRAPPIST-1e,23.0,1215.0,Age_18-25,False,80.0,1.0,2.0,0.0,False
205,0221_03,Mars,False,S,E,13,TRAPPIST-1e,33.0,1933.0,Age_31-50,False,12.0,188.0,1.0,0.0,False
206,0221_04,Mars,True,S,E,13,TRAPPIST-1e,21.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
207,0221_05,Mars,False,S,E,13,TRAPPIST-1e,41.0,1230.0,Age_31-50,False,0.0,301.0,43.0,1023.0,False
208,0221_06,Mars,False,S,E,13,TRAPPIST-1e,16.0,915.0,Age_13-17,False,0.0,221.0,234.0,0.0,False
209,0221_07,Mars,True,S,E,13,TRAPPIST-1e,42.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
210,0222_01,Mars,False,S,F,41,TRAPPIST-1e,20.0,1406.0,Age_18-25,False,0.0,0.0,11.0,0.0,False
211,0222_02,Mars,True,S,F,41,TRAPPIST-1e,24.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
